NPRI ID,Facility name,Company name,Address,City,Province,PostalCode,Latitude,Longitude,Emissions,Units,Facility details,Facility information,Report year
1,Alberta-Pacific Forest Industries Inc.,Alberta-Pacific Forest Industries Inc.,,County of Athabasca,Alberta,T0A 0M0,54.923116,-112.861867,1056.37,Tonnes (t),"http://indicators-map.canada.ca/App/Detail?id=031&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2022/1,2022
11,Hexion Canada Inc.- Edmonton Facility,Hexion Canada Inc.,12621 156th Street,Edmonton,Alberta,T5V 1E1,53.5823,-113.5886,12.35,Tonnes (t),"http://indicators-map.canada.ca/App/Detail?id=0311&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2022/11,2022
15,Baycoat,"Dofasco Inc., Stelco Inc.",244 Lanark Street,Hamilton,Ontario,L8N 3K7,43.24119,-79.74945,25,Tonnes (t),"http://indicators-map.canada.ca/App/Detail?id=0315&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2022/15,2022
28,Cornwall Site,BASF Canada Inc.,501 Wallrich Avenue,Cornwall,Ontario,K6J 2B5,45.0189,-74.7551,,Tonnes (t),"http://indicators-map.canada.ca/App/Detail?id=0328&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2022/28,2022
31,Windsor Site,BASF Canada Inc.,845 Wyandotte Street West,Windsor,Ontario,N9A 5Y1,42.31052,-83.04612,,Tonnes (t),"http://indicators-map.canada.ca/App/Detail?id=0331&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2022/31,2022
34,Toronto Site,BASF Canada Inc.,10 Constellation Court,Toronto,Ontario,M9W 1K1,43.69226,-79.59705,,Tonnes (t),"http://indicators-map.canada.ca/App/Detail?id=0334&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2022/34,2022
54,Brunswick Mine,Glencore Canada Corporation,Highway 430 Highway West,Bathurst,New Brunswick,E8G2M1,47.4717,-65.8897,,Tonnes (t),"http://indicators-map.canada.ca/App/Detail?id=0354&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2017/54,2022
99,Division Laronde,Les Mines Agnico Eagle Limitée,10200 Route de Preissac,Rouyn-Noranda,Quebec,J0Y 1C0,48.25072,-78.44184,39.33,Tonnes (t),"http://indicators-map.canada.ca/App/Detail?id=0399&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2022/99,2022
106,Dunvegan Sour Gas Plant,Canadian Natural Resources Limited,,Fairview,Alberta,,55.99857,-118.5298,328.35,Tonnes (t),"http://indicators-map.canada.ca/App/Detail?id=03106&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2022/106,2022
125,Whitby,Atlantic Packaging Products Ltd.,1900 Thickson Road,Whitby,Ontario,L1N 9E1,43.86123,-78.90416,60.68,Tonnes (t),"http://indicators-map.canada.ca/App/Detail?id=03125&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2022/125,2022
126,Edmonton Site,Celanese Canada Ulc.,4405 101st Avenue,Edmonton,Alberta,T6A 0L2,53.5397,-113.4092,61.8,Tonnes (t),"http://indicators-map.canada.ca/App/Detail?id=03126&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2022/126,2022
